priceArea,productionGroup,startTime,quantityKwh
NO5,other,2025-09-22 10:00:00+00:00,58.777
NO5,other,2025-09-22 11:00:00+00:00,69.078
NO5,other,2025-09-22 12:00:00+00:00,73.076
NO5,other,2025-09-22 13:00:00+00:00,60.414
NO5,other,2025-09-22 14:00:00+00:00,51.572
NO5,other,2025-09-22 15:00:00+00:00,25.23
NO5,other,2025-09-22 16:00:00+00:00,7.538
NO5,other,2025-09-22 17:00:00+00:00,0.096
NO5,other,2025-09-22 18:00:00+00:00,0.0
NO5,other,2025-09-22 19:00:00+00:00,0.0
NO5,other,2025-09-22 20:00:00+00:00,0.0
NO5,other,2025-09-22 21:00:00+00:00,0.0
NO5,other,2025-09-22 22:00:00+00:00,0.0
NO5,other,2025-09-22 23:00:00+00:00,0.0
NO5,other,2025-09-23 00:00:00+00:00,0.0
NO5,other,2025-09-23 01:00:00+00:00,0.0
NO5,other,2025-09-23 02:00:00+00:00,0.0
NO5,other,2025-09-23 03:00:00+00:00,0.0
NO5,other,2025-09-23 04:00:00+00:00,0.0
NO5,other,2025-09-23 05:00:00+00:00,0.04
NO5,other,2025-09-23 06:00:00+00:00,9.446
NO5,other,2025-09-23 07:00:00+00:00,34.784
NO5,other,2025-09-23 08:00:00+00:00,84.55
NO5,other,2025-09-23 09:00:00+00:00,127.91
NO5,other,2025-09-23 10:00:00+00:00,151.266
NO5,other,2025-09-23 11:00:00+00:00,163.37
NO5,other,2025-09-23 12:00:00+00:00,138.583
NO5,other,2025-09-23 13:00:00+00:00,104.323
NO5,other,2025-09-23 14:00:00+00:00,62.647
NO5,other,2025-09-23 15:00:00+00:00,35.036
NO5,other,2025-09-23 16:00:00+00:00,8.011
NO5,other,2025-09-23 17:00:00+00:00,0.591
NO5,other,2025-09-23 18:00:00+00:00,0.008
NO5,other,2025-09-23 19:00:00+00:00,0.0
NO5,other,2025-09-23 20:00:00+00:00,0.0
NO5,other,2025-09-23 21:00:00+00:00,0.0
NO5,other,2025-09-23 22:00:00+00:00,0.0
NO5,other,2025-09-23 23:00:00+00:00,0.0
NO5,other,2025-09-24 00:00:00+00:00,0.0
NO5,other,2025-09-24 01:00:00+00:00,0.0
NO5,other,2025-09-24 02:00:00+00:00,0.0
NO5,other,2025-09-24 03:00:00+00:00,0.0
NO5,other,2025-09-24 04:00:00+00:00,0.0
NO5,other,2025-09-24 05:00:00+00:00,0.084
NO5,other,2025-09-24 06:00:00+00:00,7.695
NO5,other,2025-09-24 07:00:00+00:00,35.909
NO5,other,2025-09-24 08:00:00+00:00,91.217
NO5,other,2025-09-24 09:00:00+00:00,133.747
NO5,other,2025-09-24 10:00:00+00:00,151.976
NO5,other,2025-09-24 11:00:00+00:00,149.563
NO5,other,2025-09-24 12:00:00+00:00,137.706
NO5,other,2025-09-24 13:00:00+00:00,107.466
NO5,other,2025-09-24 14:00:00+00:00,56.192
NO5,other,2025-09-24 15:00:00+00:00,30.901
NO5,other,2025-09-24 16:00:00+00:00,5.837
NO5,other,2025-09-24 17:00:00+00:00,1.493
NO5,other,2025-09-24 18:00:00+00:00,0.713
NO5,other,2025-09-24 19:00:00+00:00,0.0
NO5,other,2025-09-24 20:00:00+00:00,0.0
NO5,other,2025-09-24 21:00:00+00:00,0.0
NO5,other,2025-09-24 22:00:00+00:00,0.0
NO5,other,2025-09-24 23:00:00+00:00,0.0
NO5,other,2025-09-25 00:00:00+00:00,0.0
NO5,other,2025-09-25 01:00:00+00:00,0.0
NO5,other,2025-09-25 02:00:00+00:00,0.0
NO5,other,2025-09-25 03:00:00+00:00,0.0
NO5,other,2025-09-25 04:00:00+00:00,0.0
NO5,other,2025-09-25 05:00:00+00:00,0.093
NO5,other,2025-09-25 06:00:00+00:00,6.805
NO5,other,2025-09-25 07:00:00+00:00,30.775
NO5,other,2025-09-25 08:00:00+00:00,78.402
NO5,other,2025-09-25 09:00:00+00:00,121.854
NO5,other,2025-09-25 10:00:00+00:00,136.939
NO5,other,2025-09-25 11:00:00+00:00,122.497
NO5,other,2025-09-25 12:00:00+00:00,110.858
NO5,other,2025-09-25 13:00:00+00:00,75.012
NO5,other,2025-09-25 14:00:00+00:00,49.595
NO5,other,2025-09-25 15:00:00+00:00,33.799
NO5,other,2025-09-25 16:00:00+00:00,9.161
NO5,other,2025-09-25 17:00:00+00:00,0.485
NO5,other,2025-09-25 18:00:00+00:00,0.0
NO5,other,2025-09-25 19:00:00+00:00,0.0
NO5,other,2025-09-25 20:00:00+00:00,0.0
NO5,other,2025-09-25 21:00:00+00:00,0.0
NO5,other,2025-09-25 22:00:00+00:00,0.0
NO5,other,2025-09-25 23:00:00+00:00,0.0
NO5,other,2025-09-26 00:00:00+00:00,0.0
NO5,other,2025-09-26 01:00:00+00:00,0.0
NO5,other,2025-09-26 02:00:00+00:00,0.0
NO5,other,2025-09-26 03:00:00+00:00,0.0
NO5,other,2025-09-26 04:00:00+00:00,0.0
NO5,other,2025-09-26 05:00:00+00:00,0.08
NO5,other,2025-09-26 06:00:00+00:00,6.484
NO5,other,2025-09-26 07:00:00+00:00,34.952
NO5,other,2025-09-26 08:00:00+00:00,79.375
NO5,other,2025-09-26 09:00:00+00:00,120.6
NO5,other,2025-09-26 10:00:00+00:00,139.419
NO5,other,2025-09-26 11:00:00+00:00,140.888
NO5,other,2025-09-26 12:00:00+00:00,134.176
NO5,other,2025-09-26 13:00:00+00:00,97.036
NO5,other,2025-09-26 14:00:00+00:00,56.284
NO5,other,2025-09-26 15:00:00+00:00,25.865
NO5,other,2025-09-26 16:00:00+00:00,6.304
NO5,other,2025-09-26 17:00:00+00:00,0.988
NO5,other,2025-09-26 18:00:00+00:00,0.0
NO5,other,2025-09-26 19:00:00+00:00,0.0
NO5,other,2025-09-26 20:00:00+00:00,0.0
NO5,other,2025-09-26 21:00:00+00:00,0.0
NO5,other,2025-09-26 22:00:00+00:00,0.0
NO5,other,2025-09-26 23:00:00+00:00,0.0
NO5,other,2025-09-27 00:00:00+00:00,136.018
NO5,other,2025-09-27 01:00:00+00:00,0.0
NO5,other,2025-09-27 02:00:00+00:00,0.0
NO5,other,2025-09-27 03:00:00+00:00,0.0
NO5,other,2025-09-27 04:00:00+00:00,0.0
NO5,other,2025-09-27 05:00:00+00:00,0.0
NO5,other,2025-09-27 06:00:00+00:00,4.078
NO5,other,2025-09-27 07:00:00+00:00,26.308
NO5,other,2025-09-27 08:00:00+00:00,62.809
NO5,other,2025-09-27 09:00:00+00:00,95.472
NO5,other,2025-09-27 10:00:00+00:00,132.245
NO5,other,2025-09-27 11:00:00+00:00,142.383
NO5,other,2025-09-27 12:00:00+00:00,118.281
NO5,other,2025-09-27 13:00:00+00:00,73.378
NO5,other,2025-09-27 14:00:00+00:00,35.568
NO5,other,2025-09-27 15:00:00+00:00,21.792
NO5,other,2025-09-27 16:00:00+00:00,4.204
NO5,other,2025-09-27 17:00:00+00:00,0.0
NO5,other,2025-09-27 18:00:00+00:00,0.0
NO5,other,2025-09-27 19:00:00+00:00,0.0
NO5,other,2025-09-27 20:00:00+00:00,0.0
NO5,other,2025-09-27 21:00:00+00:00,0.0
NO5,other,2025-09-27 22:00:00+00:00,0.0
NO5,other,2025-09-27 23:00:00+00:00,0.0
NO5,other,2025-09-28 00:00:00+00:00,0.0
NO5,other,2025-09-28 01:00:00+00:00,0.0
NO5,other,2025-09-28 02:00:00+00:00,0.0
NO5,other,2025-09-28 03:00:00+00:00,0.0
NO5,other,2025-09-28 04:00:00+00:00,0.0
NO5,other,2025-09-28 05:00:00+00:00,0.0
NO5,other,2025-09-28 06:00:00+00:00,0.167
NO5,other,2025-09-28 07:00:00+00:00,7.714
NO5,other,2025-09-28 08:00:00+00:00,14.258
NO5,other,2025-09-28 09:00:00+00:00,38.367
NO5,other,2025-09-28 10:00:00+00:00,50.095
NO5,other,2025-09-28 11:00:00+00:00,51.98
NO5,other,2025-09-28 12:00:00+00:00,44.028
NO5,other,2025-09-28 13:00:00+00:00,24.678
NO5,other,2025-09-28 14:00:00+00:00,6.195
NO5,other,2025-09-28 15:00:00+00:00,4.717
NO5,other,2025-09-28 16:00:00+00:00,0.237
NO5,other,2025-09-28 17:00:00+00:00,0.0
NO5,other,2025-09-28 18:00:00+00:00,0.0
